# Sobol' Direction Number Parameters
# s: degree of the primitive polynomial
# a: coefficient for the primitive polynomial
# m_i: direction numbers

Dimension     | s | a  | m_i
--------------|---|----|-------------------------------
Dimension 2   | 1 | 0  | [1]
Dimension 3   | 2 | 1  | [1, 3]
Dimension 4   | 3 | 1  | [1, 3, 5]
Dimension 5   | 3 | 2  | [1, 3, 7]
Dimension 6   | 4 | 1  | [1, 1, 3, 7]
Dimension 7   | 4 | 4  | [1, 3, 5, 13]
Dimension 8   | 5 | 2  | [1, 1, 5, 5, 17]
Dimension 9   | 5 | 4  | [1, 1, 5, 5, 5]
Dimension 10  | 5 | 7  | [1, 1, 7, 11, 19]
Dimension 11  | 5 | 11 | [1, 1, 5, 1, 1]
Dimension 12  | 5 | 13 | [1, 1, 1, 3, 11]
Dimension 13  | 5 | 14 | [1, 3, 5, 5, 31]
Dimension 14  | 6 | 1  | [1, 3, 3, 9, 7, 49]
Dimension 15  | 6 | 13 | [1, 1, 1, 15, 21, 21]
Dimension 16  | 6 | 16 | [1, 3, 1, 13, 27, 49]
Dimension 17  | 6 | 19 | [1, 1, 1, 15, 7, 5]
Dimension 18  | 6 | 22 | [1, 3, 1, 15, 13, 25]
Dimension 19  | 6 | 25 | [1, 1, 5, 5, 19, 61]
Dimension 20  | 7 | 1  | [1, 3, 7, 11, 23, 15, 103]
Dimension 21  | 7 | 4  | [1, 3, 7, 13, 13, 15, 69]
Dimension 22  | 7 | 7  | [1, 1, 3, 13, 7, 35, 63]
Dimension 23  | 7 | 8  | [1, 3, 5, 9, 1, 25, 53]
Dimension 24  | 7 | 14 | [1, 3, 1, 13, 9, 35, 107]
Dimension 25  | 7 | 19 | [1, 3, 1, 5, 27, 61, 31]
Dimension 26  | 7 | 21 | [1, 1, 5, 11, 19, 41, 61]
Dimension 27  | 7 | 28 | [1, 3, 5, 3, 3, 13, 69]
Dimension 28  | 7 | 31 | [1, 1, 7, 13, 1, 19, 1]
Dimension 29  | 7 | 32 | [1, 3, 7, 5, 13, 19, 59]
Dimension 30  | 7 | 37 | [1, 1, 3, 9, 25, 29, 41]
Dimension 31  | 7 | 41 | [1, 3, 5, 13, 23, 1, 55]
Dimension 32  | 7 | 42 | [1, 3, 7, 3, 13, 59, 17]
